SalesID,EmployeeID,CustomerID,ProductID,Quantity,Unit price,Discount,TotalPrice,SalesDate,TransactionNumber,Tempery key
1,13,1,2,2,261.96,0,56602,3/16/2020,ESOU9FQH7T8M18EGPM14,111
2,22,2,4,3,731.94,0,39765,3/17/2020,C51E3UYYRLHO9JUJGBW7,112
3,7,3,20,2,14.62,0,72265,3/17/2020,1MJWZXN8465DA9W2G3V4,113
4,11,4,21,5,957.5775,0.45,73766,3/17/2020,D4BWPB42TG82TSCJHQYT,114
5,1,5,27,2,22.368,0.2,12690,3/17/2020,DBJX99AVJA3CAGQXJI3U,115
6,23,6,37,7,48.86,0,127621,3/17/2020,FDF4CW6VZ6B4HK2UFWYZ,116
7,10,7,42,4,7.28,0,187364,3/18/2020,K3R8TVN23M5UOLLPJ6HQ,117
8,15,8,43,6,907.152,0.2,89681,3/18/2020,05SAJM5RMZLVRAOYCCJR,118
9,5,9,55,3,18.504,0.2,104002,3/18/2020,VEDZ8CCD8QVDVJYYX99I,119
10,15,10,56,5,114.9,0,136861,3/18/2020,GMKZXBWR7TXZG4QFBB9T,120
11,3,11,62,9,1706.184,0.2,692589,3/18/2020,D9QIVQPZF3A9DESS0B1F,121
12,14,12,63,4,911.424,0.2,140624,3/18/2020,1WXEFF8IMYZOX3CTH1K6,122
13,14,13,69,3,15.552,0.2,169815,3/18/2020,SQNP3PXMBZ7ERBDT3GAH,123
14,20,14,77,3,407.976,0.2,216362,3/18/2020,S5BKFBGYI9H8V96AOCPB,124
15,15,15,81,5,68.81,0.8,119082,3/18/2020,BYSA5RZ0DL9PAZLC5NEH,125
16,20,16,107,3,2.544,0.8,29355,3/19/2020,SQQ6W26IF4L6KH6J9AKG,126
17,10,17,108,6,665.88,0,132612,3/19/2020,5O7IKALYIOBT8J8149PS,127
18,3,18,109,2,55.5,0,74291,3/19/2020,XHOJPIESWDT0PM2JNBRL,128
19,17,19,117,2,8.56,0,157155,3/20/2020,MBHTIW6IHXX7X02E6DKG,129
20,18,20,121,3,213.48,0.2,259478,3/20/2020,RCYC9EV0NHZEFA3RIU1S,130
21,5,21,146,4,22.72,0.2,178958,3/20/2020,N3YGJ843SH8QTVZJH9IB,131
22,7,22,154,7,19.46,0,62433,3/20/2020,TGXSHPYMNJINB39ZVQ5Q,132
23,11,23,162,7,60.34,0,138885,3/20/2020,UZRNLF481LIHITN0N1I5,133
24,18,24,163,2,71.372,0.3,91079,3/21/2020,5YP2HRPKMICKJYG65VAU,134
25,17,25,165,3,1044.63,0,40073,3/21/2020,MY06T9MZ7ONLGP11L3NE,135
26,1,26,180,2,11.648,0.2,143876,3/21/2020,F25WYV7UI58A2I0PVOI3,136
27,16,27,181,3,90.57,0,149631,3/21/2020,EUPZ39E4JRMGQ7VUAUEF,137
28,9,28,189,7,3083.43,0.5,132564,3/21/2020,OIEAE61CPF4A307GXVLS,138
29,16,29,190,2,9.618,0.7,198845,3/22/2020,YELUBB4ULT3OFPBAPP2C,139
30,9,30,214,3,124.2,0.2,94081,3/22/2020,UCI5N6NECZSMGQ4TF2VX,140
31,11,31,217,2,3.264,0.2,104075,3/22/2020,3M0MNBW585JFW413PN5G,141
32,5,32,219,6,86.304,0.2,241926,3/22/2020,8TB2ZZ7H9M6FBQPHIZUR,142
33,3,33,221,6,6.858,0.7,87100,3/22/2020,4U96JL2PPEQH0USPKOCO,143
34,23,34,228,2,15.76,0.2,295187,3/22/2020,YJC0LDBM6OAO74Z1VFD4,144
35,17,35,229,3,29.472,0.2,110106,3/23/2020,IQGTTQTOO9YKUDBV3BHF,145
36,19,36,235,7,1097.544,0.2,205032,3/23/2020,8DRLLYO4PH5DP1G04G53,146
37,21,37,236,5,190.92,0.6,53027,3/23/2020,91KIRSY12NQB7ADO78R5,147
38,11,38,245,9,113.328,0.2,86860,3/23/2020,YRT65CUVYUBBRYB73T6P,148
39,23,39,246,3,532.3992,0.32,142490,3/23/2020,3SF0GB1G4ELFGBYE4NKR,149
40,2,40,252,3,212.058,0.3,176654,3/23/2020,STSJ3ZBC6YUCM26HM8MZ,150
41,2,41,267,4,371.168,0.2,77120,3/23/2020,C7USIRXF3M4ON8T4U4PP,151
42,17,42,272,4,147.168,0.2,40774,3/23/2020,NSBMRS764JHB7HW6LBMH,152
43,20,43,274,2,77.88,0,51025,3/23/2020,NLGYN92SXWNKT04GTQ3K,153
44,21,44,279,2,95.616,0.2,296561,3/23/2020,9G9R5FFX7GYKZQEVZE7Q,154
45,3,45,287,2,45.98,0,135404,3/23/2020,DS27U001ZCP0ZOQB72MW,155
46,3,46,290,2,17.46,0,240434,3/23/2020,CNMSY8PIUZ6U7VN6JBEF,156
47,5,47,295,4,211.96,0,142037,3/24/2020,5DI5RS24NR8H04ID9Y61,157
48,5,48,299,3,45,0,96016,3/24/2020,2NL03VIP5EM4C2RRD99L,158
49,6,49,305,2,21.8,0,114807,3/24/2020,ICMDN2RMVPWFHX49OZZV,159
50,6,50,321,6,38.22,0,86249,3/24/2020,ZH1UQZ1U9LC11M6QZGTU,160
51,17,51,341,6,75.18,0,61910,3/25/2020,L4KEGBXJPI615O8CZNTG,161
52,7,52,342,2,6.16,0,106196,3/25/2020,TWFD93A5GJP5PO44GMUN,162
53,12,53,343,1,89.99,0,83155,3/25/2020,Q5RNMUN8I9A8JS74178M,163
54,7,54,354,7,15.26,0,108016,3/26/2020,9ZGWG048J1YS42ROQN8N,164
55,16,55,355,5,1029.95,0,148975,3/26/2020,X9FW6VXZEFM1PG5AR5UI,165
56,9,56,369,6,208.56,0,106830,3/26/2020,Z8BGEPFGBKZYGCP1Z947,166
57,12,57,370,5,32.4,0,100653,3/26/2020,5MBRFMLDZHE4XY13GR5H,167
58,21,58,376,5,319.41,0.1,115555,3/26/2020,3UN284F9RVQBQULZOZ3T,168
59,11,59,378,2,14.56,0,169805,3/26/2020,C2KTJDOXJIYPP1ROO6H6,169
60,4,60,383,2,30,0,78981,3/26/2020,7LOS64F3RS2OGRS28PQR,170
61,15,61,391,4,48.48,0.2,67309,3/26/2020,7DRM1SUB0TMNX4GW0C98,171
