ProductID,ProductName, Price ,CategoryID,Class,ModifyDate,Resistant,IsAllergic,VitalityDays,ProductSubcategoryID
1,Flour - Whole Wheat,"742,988",1,Medium,2/16/2018,Durable,NULL,NULL,29
2,Cookie Chocolate Chip With,"912,329",2,Medium,2/12/2017,NULL,NULL,NULL,4
3,Onions - Cippolini,"91,379",3,Medium,3/15/2018,Weak,FALSE,111,25
4,Sauce - Gravy Au Jus Mix,"543,055",4,Medium,7/16/2017,Durable,NULL,NULL,9
5,Artichokes - Jerusalem,"654,771",5,Low,8/16/2017,Durable,TRUE,27,3
6,Wine - Magnotta - Cab Sauv,"797,184",6,High,5/25/2017,NULL,NULL,NULL,13
7,Table Cloth - 53x69 Colour,"31,837",7,Medium,2/24/2017,Durable,FALSE,NULL,30
8,Halibut - Steaks,"898,573",8,Medium,3/24/2018,NULL,TRUE,108,34
9,Rabbit - Whole,"844,219",9,Medium,6/17/2017,Durable,NULL,NULL,25
10,Scampi Tail,"950,957",10,Low,7/30/2017,Weak,TRUE,105,35
11,Garbage Bags - Clear,"62,949",11,Low,1/5/2017,Durable,TRUE,67,33
12,Ezy Change Mophandle,"493,356",12,Medium,11/1/2017,Durable,TRUE,NULL,32
13,Water Tap,"282,232",1,Low,1/16/2017,Durable,FALSE,69,32
14,Beef - Top Sirloin,"33,324",2,Medium,2/26/2017,Durable,TRUE,NULL,22
15,Spoon - Soup Plastic,"32,442",3,Low,3/3/2017,Weak,TRUE,NULL,32
16,Kellogs Special K Cereal,"547,246",4,Low,1/23/2017,Durable,TRUE,NULL,23
17,Wine - White Mosel Gold,"439,182",5,Medium,3/1/2017,NULL,NULL,NULL,13
18,Lamb - Whole Fresh,"233,966",6,Medium,12/19/2017,NULL,FALSE,NULL,25
19,Tea - Earl Grey,"225,614",7,Medium,6/14/2017,Weak,TRUE,94,14
20,Chocolate - Feathers,"859,011",8,Low,7/21/2017,Durable,TRUE,NULL,3
21,Kiwi,"467,252",9,High,5/9/2018,Durable,NULL,NULL,5
22,Rice - Jasmine Sented,"278,955",10,Medium,5/9/2017,Weak,NULL,48,4
23,Crab - Imitation Flakes,"790,184",11,Medium,8/19/2017,Durable,TRUE,NULL,3
24,Beer - Alexander Kieths Pale Ale,"89,037",12,Medium,5/23/2017,Durable,TRUE,65,15
25,Soupcontfoam16oz 116con,"807,666",1,High,4/9/2017,Durable,TRUE,NULL,4
26,Squid U5 - Thailand,"337,821",2,Medium,3/26/2018,Weak,FALSE,10,5
27,Chocolate - Compound Coating,"171,724",3,Medium,10/29/2017,NULL,NULL,86,3
28,Sobe ,"123,153",4,High,10/25/2017,Durable,TRUE,NULL,34
29,Spinach - Baby,"335,883",5,Low,8/6/2017,Durable,TRUE,50,6
30,Cheese - Brie Triple Creme,"67,899",6,Low,3/21/2018,Weak,NULL,72,10
31,Yeast Dry - Fermipan,"739,851",7,Medium,4/17/2017,Durable,FALSE,NULL,29
32,Lettuce - Treviso,"964,127",8,High,1/9/2017,Durable,TRUE,NULL,4
33,Beans - Wax,"455,551",9,Medium,2/1/2017,Weak,TRUE,NULL,6
34,Mustard Prepared,"433,463",10,Medium,9/21/2017,Weak,NULL,7,30
35,Water - Mineral Natural,"157,233",11,Low,10/1/2017,Durable,TRUE,97,18
36,Table Cloth 54x72 White,"692,574",12,Low,3/4/2018,Durable,TRUE,NULL,30
37,Nut - Pistachio Shelled,"803,171",1,Low,2/27/2017,NULL,FALSE,NULL,5
38,Sage - Ground,"816,579",2,High,9/26/2017,Weak,FALSE,NULL,28
39,Dried Figs,"752,059",3,Medium,8/4/2017,Weak,FALSE,120,26
40,Cocktail Napkin Blue,"89,372",4,Low,6/28/2017,NULL,NULL,NULL,17
41,Cup - 6oz Foam,"81,721",5,Medium,3/15/2018,NULL,TRUE,NULL,32
42,Bread - Raisin Walnut Oval,"810,488",6,High,4/1/2018,Weak,FALSE,NULL,1
43,Sponge Cake Mix - Chocolate,"163,983",7,High,8/12/2017,Weak,TRUE,96,3
